state,city,population,mean_rent,zip,state_population,no_heating,zip_start,zip_end
Bayern,Muenchen,1471508,13.16,80331,13077.0,0.03,80331,85540
Bayern,Nuernberg,518365,9.47,90402,13077.0,0.03,90402,90491
Bayern,Augsburg,295135,9.92,86150,13077.0,0.05,86150,86199
Bayern,Regensburg,152610,10.06,93047,13077.0,0.1,93047,93059
Bayern,Ingolstadt,136981,10.8,85049,13077.0,0.1,85049,85057
Bayern,Wuerzburg,127880,9.99,97070,13077.0,0.05,97070,97084
Bayern,Fuerth,127748,9.43,90762,13077.0,0.1,90762,90768
Bayern,Erlangen,111962,10.77,91052,13077.0,0.1,91052,91058
Bayern,Bamberg,77592,8.77,96047,13077.0,0.1,96047,96052
Bayern,Bayreuth,74657,8.63,95444,13077.0,0.15,95444,95448
Bayern,Landshut,72404,9.23,84028,13077.0,0.2,84028,84036
Bayern,Aschaffenburg,70527,8.6,63739,13077.0,0.1,63739,63743
Bayern,Kempten,68907,8.46,87435,13077.0,0.1,87435,87439
Bayern,Rosenheim,63324,8.63,83022,13077.0,0.15,83022,83026
Bayern,Neu-Ulm,58707,10.71,89231,13077.0,0.1,89231,89233
Bayern,Schweinfurt,54032,6.3,97421,13077.0,0.1,97421,97424
Bayern,Passau,52469,8.36,94032,13077.0,0.09,94032,94036
Bayern,Freising,48634,10.79,85354,13077.0,0.05,85354,85356
Bayern,Straubing,47794,7.14,94315,13077.0,0.1,94315,94316
Bayern,Dachau,47400,10.73,85221,13077.0,0.1,85221,85222
Bayern,Hof,45930,4.63,95028,13077.0,0.15,95028,95032
Bayern,Kaufbeuren,43893,6.89,87600,13077.0,0.1,87600,87602
Bayern,Memmingen,43837,7.68,87700,13077.0,0.1,87700,87702
Nordrhein-Westfalen,Koeln,1085664,9.0,50667,17933.0,0.05,50667,51467
Nordrhein-Westfalen,Duesseldorf,619294,8.96,40210,17933.0,0.05,40210,40721
Nordrhein-Westfalen,Dortmund,587010,6.5,44135,17933.0,0.05,44135,44388
Nordrhein-Westfalen,Essen,583109,5.97,45127,17933.0,0.05,45127,45359
Nordrhein-Westfalen,Duisburg,498590,5.42,47051,17933.0,0.05,47051,47279
Nordrhein-Westfalen,Bochum,364628,6.0,44787,17933.0,0.05,44787,44894
Nordrhein-Westfalen,Wuppertal,354382,5.66,42103,17933.0,0.1,42103,42399
Nordrhein-Westfalen,Bielefeld,333786,7.2,33602,17933.0,0.1,33602,33739
Nordrhein-Westfalen,Bonn,327258,8.94,53111,17933.0,0.08,53111,53229
Nordrhein-Westfalen,Muenster,314319,8.3,48143,17933.0,0.1,48143,48167
Nordrhein-Westfalen,Gelsenkirchen,260654,5.26,45879,17933.0,0.1,45879,45899
Nordrhein-Westfalen,Moenchengladbach,261454,6.02,41061,17933.0,0.15,41061,41239
Nordrhein-Westfalen,Aachen,247380,8.5,52062,17933.0,0.1,52062,52080
Baden-Wuerttemberg,Stuttgart,634830,13.75,70173,11070.0,0.05,70173,70629
Baden-Wuerttemberg,Karlsruhe,313092,9.47,76131,11070.0,0.09,76131,76229
Baden-Wuerttemberg,Mannheim,309370,9.25,68159,11070.0,0.08,68159,68309
Baden-Wuerttemberg,Freiburg im Breisgau,230241,12.83,79098,11070.0,0.1,79098,79117
Baden-Wuerttemberg,Heidelberg,160355,11.2,69115,11070.0,0.13,69115,69126
Baden-Wuerttemberg,Ulm,126329,11.6,89073,11070.0,0.1,89073,89160
Baden-Wuerttemberg,Heilbronn,125960,10.4,74072,11070.0,0.1,74072,74081
Baden-Wuerttemberg,Pforzheim,125542,7.48,75172,11070.0,0.1,75172,75181
Baden-Wuerttemberg,Reutlingen,115966,7.14,72760,11070.0,0.13,72760,72770
Baden-Wuerttemberg,Esslingen am Neckar,93542,9.01,73728,11070.0,0.14,73728,73734
Baden-Wuerttemberg,Ludwigsburg,93499,9.31,71634,11070.0,0.18,71634,71672
Baden-Wuerttemberg,Tuebingen,90546,8.72,72070,11070.0,0.1,72070,72076
Niedersachsen,Hannover,538068,9.46,30159,7982.0,0.08,30159,30669
Niedersachsen,Braunschweig,248292,8.88,38100,7982.0,0.08,38100,38126
Niedersachsen,Oldenburg,168210,8.42,26121,7982.0,0.08,26121,26135
Niedersachsen,Osnabrueck,164748,8.08,49074,7982.0,0.1,49074,49090
Niedersachsen,Wolfsburg,124151,9.7,38440,7982.0,0.06,38440,38448
Niedersachsen,Goettingen,119801,9.06,37073,7982.0,0.12,37073,37085
Niedersachsen,Hildesheim,101990,6.78,31134,7982.0,0.1,31134,31141
Hessen,Frankfurt am Main,753056,14.48,60306,6266.0,0.01,60306,65936
Hessen,Wiesbaden,278342,10.82,55246,6266.0,0.02,55246,65207
Hessen,Kassel,201585,7.55,34117,6266.0,0.09,34117,34355
Hessen,Darmstadt,159207,10.61,64283,6266.0,0.04,64283,64297
Hessen,Offenbach am Main,128744,11.56,63065,6266.0,0.08,63065,63075
Hessen,Hanau,96023,9.29,63450,6266.0,0.1,63450,63457
Hessen,Giessen,88546,9.12,35390,6266.0,0.12,35390,35398
Hessen,Marburg,76851,9.68,35037,6266.0,0.14,35037,35094
Hessen,Fulda,68586,7.96,36037,6266.0,0.14,36037,36043
Hessen,Ruesselsheim am Main,65440,8.91,65428,6266.0,0.1,65428,65429
