state,city,zip,living_space,construct_year,rent,negative_sample
Bayern,Muenchen,84959,41.6,2005,910.67,0
Niedersachsen,Braunschweig,38122,176.54,1914,1699.56,0
Bayern,Straubing,94316,160.27,1983,1134.47,0
Hessen,Marburg,35052,188.59,1968,1398.38,0
Hessen,Wiesbaden,64082,153.9,1965,1543.49,0
Bayern,Passau,94032,60.05,1979,754.13,0
Nordrhein-Westfalen,Gelsenkirchen,45890,114.68,1971,818.38,0
Hessen,Offenbach am Main,63073,188.93,1891,2225.69,0
Baden-Wuerttemberg,Ludwigsburg,71635,178.97,1948,1781.43,0
Bayern,Regensburg,93056,136.57,2002,1912.77,0
Niedersachsen,Hannover,30262,23.65,1937,395.14,0
Nordrhein-Westfalen,Wuppertal,42345,22.3,1947,289.04,0
Nordrhein-Westfalen,Wuppertal,42220,179.59,1968,678.38,0
Niedersachsen,Wolfsburg,38442,34.72,1947,571.98,0
Bayern,Ingolstadt,85049,60.88,1972,910.97,0
Baden-Wuerttemberg,Heilbronn,74076,82.63,1947,1250.87,0
Nordrhein-Westfalen,Gelsenkirchen,45898,44.53,1961,405.98,0
Bayern,Memmingen,87700,36.63,1982,471.56,0
Hessen,Darmstadt,64284,196.64,1926,2065.28,0
Baden-Wuerttemberg,Heilbronn,74081,25.14,1938,441.97,0
Baden-Wuerttemberg,Ludwigsburg,71654,93.46,1979,1129.74,0
Hessen,Darmstadt,64296,124.75,1968,1379.47,0
Nordrhein-Westfalen,Dortmund,44294,43.68,1963,453.98,0
Bayern,Muenchen,80411,150.88,1976,2036.54,0
Nordrhein-Westfalen,Aachen,52063,26.19,1967,344.05,0
Hessen,Offenbach am Main,63075,33.1,1907,609.12,0
Baden-Wuerttemberg,Reutlingen,72768,23.09,1940,332.67,0
Niedersachsen,Goettingen,37085,50.18,1920,761.65,0
Nordrhein-Westfalen,Aachen,52079,116.66,1980,1200.68,0
Niedersachsen,Braunschweig,38118,68.74,1927,976.65,0
Baden-Wuerttemberg,Karlsruhe,76227,189.41,1930,1831.61,0
Baden-Wuerttemberg,Heilbronn,74074,24.32,1938,428.39,0
Bayern,Wuerzburg,97073,124.56,1991,1456.86,0
Bayern,Regensburg,93057,152.48,2004,2108.76,0
Nordrhein-Westfalen,Bielefeld,33736,148.6,1927,1357.37,0
Nordrhein-Westfalen,Koeln,51267,48.64,1937,738.54,0
Nordrhein-Westfalen,Aachen,52072,167.84,1967,1194.48,0
Baden-Wuerttemberg,Heilbronn,74079,146.65,1961,1454.39,0
Baden-Wuerttemberg,Ludwigsburg,71652,54.24,1971,746.05,0
Nordrhein-Westfalen,Gelsenkirchen,45884,115.68,1971,820.58,0
Nordrhein-Westfalen,Wuppertal,42148,160.83,1963,735.76,0
Niedersachsen,Braunschweig,38125,28.06,1950,377.03,0
Bayern,Kaufbeuren,87601,155.74,2000,1482.82,0
Bayern,Landshut,84028,139.32,2000,1749.73,0
