state,city,zip,living_space,construct_year,rent,negative_sample
Baden-Wuerttemberg,Pforzheim,75173,184.88,1959,971.14,0
Niedersachsen,Hildesheim,31139,28.74,1977,374.2,0
Bayern,Augsburg,86198,111.64,1990,1330.15,0
Baden-Wuerttemberg,Karlsruhe,76195,73.76,1933,1089.88,0
Bayern,Muenchen,80753,127.13,2030,3103.03,0
Hessen,Hanau,63457,148.11,1911,1656.49,0
Bayern,Memmingen,87701,184.79,2028,2967.36,0
Niedersachsen,Hannover,30523,70.99,1934,1028.35,0
Hessen,Wiesbaden,62977,165.27,1943,2020.61,0
Hessen,Offenbach am Main,63070,97.12,1939,1499.0,0
Bayern,Neu-Ulm,89233,127.81,1996,1721.58,0
Bayern,Augsburg,86182,170.5,1990,1620.53,0
Nordrhein-Westfalen,Moenchengladbach,41115,196.36,1979,837.62,0
Nordrhein-Westfalen,Muenster,48146,195.94,1949,1103.09,0
Bayern,Freising,85355,134.82,1951,1474.91,0
Hessen,Wiesbaden,63165,128.12,1929,1757.55,0
Baden-Wuerttemberg,Karlsruhe,76221,87.11,1964,997.85,0
Hessen,Giessen,35396,36.02,1930,580.16,0
Bayern,Freising,85356,112.92,2027,2497.09,0
Hessen,Giessen,35398,60.53,1922,904.7,0
Baden-Wuerttemberg,Karlsruhe,76137,113.2,1989,1264.63,0
Hessen,Kassel,34194,161.05,1892,1438.98,0
Nordrhein-Westfalen,Bochum,44853,45.6,1957,446.08,0
Niedersachsen,Hildesheim,31135,186.2,1967,832.54,0
Bayern,Fuerth,90763,144.15,1930,1642.08,0
Baden-Wuerttemberg,Reutlingen,72762,81.09,1936,973.74,0
Niedersachsen,Hildesheim,31137,58.72,1954,608.89,0
Niedersachsen,Goettingen,37076,173.21,1969,1477.73,0
Baden-Wuerttemberg,Tuebingen,72074,193.44,1949,1202.71,0
Baden-Wuerttemberg,Freiburg im Breisgau,79117,104.43,1939,1708.98,0
Nordrhein-Westfalen,Duesseldorf,40469,26.84,1941,454.37,0
Hessen,Kassel,34158,179.28,1940,1468.91,0
Baden-Wuerttemberg,Ludwigsburg,71654,93.28,1963,1024.28,0
Bayern,Augsburg,86194,122.87,1967,1313.18,0
Hessen,Marburg,35052,183.27,1945,1828.82,0
Hessen,Giessen,35390,165.19,1940,1722.09,0
Nordrhein-Westfalen,Muenster,48144,46.89,1965,571.7,0
Niedersachsen,Osnabrueck,49085,45.92,1950,571.96,0
Baden-Wuerttemberg,Ludwigsburg,71648,170.73,1962,1345.03,0
Bayern,Augsburg,86177,168.0,1987,1559.6,0
Niedersachsen,Wolfsburg,38443,79.91,1946,1164.9,0
Hessen,Ruesselsheim am Main,65428,131.84,1922,1525.14,0
Hessen,Kassel,34121,67.95,1975,748.5,0
Niedersachsen,Hannover,30468,187.23,1944,1818.77,0
Nordrhein-Westfalen,Aachen,52064,109.44,1956,1080.89,0
Bayern,Muenchen,83086,154.32,1980,2031.28,0
Niedersachsen,Goettingen,37084,132.97,1964,1258.55,0
Hessen,Kassel,34335,47.2,1972,593.69,0
Hessen,Kassel,34118,38.91,1951,417.11,0
Bayern,Bamberg,96049,182.09,1987,1405.14,0
Hessen,Frankfurt am Main,62340,25.37,1939,531.78,0
Niedersachsen,Oldenburg,26122,175.95,1967,1176.59,0
Niedersachsen,Hannover,30252,117.03,1942,1490.59,0
Niedersachsen,Braunschweig,38112,45.65,1968,547.19,0
Baden-Wuerttemberg,Ulm,89075,127.42,1949,1504.41,0
Niedersachsen,Goettingen,37078,42.24,1949,549.85,0
Bayern,Muenchen,82393,71.22,2024,1800.58,0
Niedersachsen,Wolfsburg,38440,138.87,1925,1655.79,0
Hessen,Darmstadt,64293,135.48,1968,1431.23,0
Nordrhein-Westfalen,Gelsenkirchen,45890,40.29,1929,466.51,0
Baden-Wuerttemberg,Tuebingen,72074,111.67,1956,1106.46,0
Bayern,Passau,94032,148.19,1979,1324.23,0
Hessen,Darmstadt,64286,135.99,1936,1763.84,0
Baden-Wuerttemberg,Ulm,89124,81.33,1901,1352.3,0
Nordrhein-Westfalen,Moenchengladbach,41081,23.88,1970,283.23,0
Nordrhein-Westfalen,Duisburg,47257,31.23,1961,318.04,0
Nordrhein-Westfalen,Duisburg,47151,50.72,1961,453.38,0
Bayern,Nuernberg,90434,92.95,1980,1143.89,0
Nordrhein-Westfalen,Muenster,48144,116.0,1952,1045.65,0
Nordrhein-Westfalen,Essen,45127,71.64,1954,623.15,0
Baden-Wuerttemberg,Karlsruhe,76196,144.06,1971,1490.13,0
Baden-Wuerttemberg,Karlsruhe,76213,105.33,1963,1133.22,0
Niedersachsen,Hildesheim,31135,61.54,1948,736.13,0
Hessen,Ruesselsheim am Main,65428,98.14,1932,1257.8,0
Hessen,Offenbach am Main,63071,106.8,1947,1650.42,0
Nordrhein-Westfalen,Wuppertal,42171,106.79,1950,746.74,0
Hessen,Kassel,34298,51.51,1939,671.08,0
Bayern,Bamberg,96051,79.18,1977,956.09,0
