state,city,zip,living_space,construct_year,heating_type,has_parking,has_balcony,rent
Baden-Wuerttemberg,Mannheim,68159,178.93,1983,District,false,false,2727.02
Bayern,Rosenheim,83022,210.47,1920,Natural,false,false,2243.82
Baden-Wuerttemberg,Heilbronn,74072,100.8,1958,None,true,false,1133.33
Niedersachsen,Osnabrueck,49074,94.39,1997,Oil,false,false,1808.63
Baden-Wuerttemberg,Freiburg im Breisgau,79098,223.48,1943,Natural,true,false,3206.18
Baden-Wuerttemberg,Freiburg im Breisgau,79098,174.44,1988,District,false,false,3350.93
Nordrhein-Westfalen,Bielefeld,33602,164.48,1946,District,false,false,2518.26
Nordrhein-Westfalen,Bochum,44787,158.11,1941,None,true,false,750.76
Bayern,Bamberg,96047,45.4,1937,None,false,false,665.41
Nordrhein-Westfalen,Duesseldorf,40210,53.06,1957,Natural,false,false,950.33
Baden-Wuerttemberg,Pforzheim,75172,61.64,1959,Natural,true,false,1130.11
Niedersachsen,Braunschweig,38100,100.06,1994,Natural,false,true,1763.73
Nordrhein-Westfalen,Bochum,44787,93.64,1993,Oil,false,false,1517.02
Baden-Wuerttemberg,Pforzheim,75172,183.61,1937,Oil,true,false,2551.68
Hessen,Kassel,34117,66.48,1983,District,false,false,1412.02
Baden-Wuerttemberg,Mannheim,68159,128.22,1937,District,false,true,2516.9
Bayern,Regensburg,93047,139.45,1986,Oil,false,false,2434.78
Baden-Wuerttemberg,Tuebingen,72070,214.25,1935,District,false,false,2892.79
Niedersachsen,Wolfsburg,38440,220.91,1975,Natural,false,false,2270.6
Hessen,Darmstadt,64283,133.51,1970,District,false,false,2612.48
Baden-Wuerttemberg,Heidelberg,69115,72.86,1972,Natural,false,true,1578.31
Hessen,Giessen,35390,177.57,1962,Natural,true,false,2144.82
Niedersachsen,Oldenburg,26121,88.16,1990,Natural,false,false,1497.71
Niedersachsen,Goettingen,37073,56.24,1996,District,true,false,1375.89
Baden-Wuerttemberg,Heidelberg,69115,90.25,1967,District,false,false,1972.17
Niedersachsen,Oldenburg,26121,27.49,2005,District,true,true,838.48
Hessen,Offenbach am Main,63065,179.59,1953,District,false,false,2994.33
Niedersachsen,Goettingen,37073,61.97,1949,District,false,false,1354.94
Bayern,Dachau,85221,242.23,1925,Oil,true,false,3175.2
Nordrhein-Westfalen,Duisburg,47051,113.32,1983,District,false,false,1765.69
Niedersachsen,Braunschweig,38100,178.28,1994,District,false,false,2657.66
Nordrhein-Westfalen,Bochum,44787,90.74,1966,Oil,false,false,1491.93
Niedersachsen,Goettingen,37073,150.93,1972,District,true,false,2554.4
Niedersachsen,Osnabrueck,49074,181.62,1976,Oil,false,false,2375.84
Baden-Wuerttemberg,Pforzheim,75172,24.39,1943,None,false,false,348.05
Baden-Wuerttemberg,Karlsruhe,76131,22.32,1984,Oil,true,false,626.52
Niedersachsen,Hildesheim,31134,207.39,1938,Oil,false,true,2319.04
Nordrhein-Westfalen,Wuppertal,42103,119.12,1958,Natural,true,false,1453.33
Hessen,Darmstadt,64283,223.97,1949,District,false,false,2883.5
Niedersachsen,Hannover,30159,69.26,1972,District,true,false,1623.27
Niedersachsen,Braunschweig,38100,77.27,1975,None,true,false,918.25
Hessen,Frankfurt am Main,60306,81.89,1999,Oil,true,false,2247.64
Bayern,Fuerth,90762,240.54,1940,Oil,false,false,2836.05
Nordrhein-Westfalen,Essen,45127,166.31,1931,District,true,false,2380.17
Niedersachsen,Braunschweig,38100,102.84,1921,Natural,false,false,1858.34
Hessen,Kassel,34117,26.52,1921,Oil,false,false,594.63
Nordrhein-Westfalen,Aachen,52062,224.79,1920,Natural,false,true,2228.54
Niedersachsen,Osnabrueck,49074,189.15,1938,District,false,false,2763.62
Baden-Wuerttemberg,Mannheim,68159,58.73,1953,Oil,false,false,1247.64
Baden-Wuerttemberg,Karlsruhe,76131,131.41,1940,Natural,false,false,2129.19
Baden-Wuerttemberg,Mannheim,68159,28.37,2001,Natural,true,false,748.43
Baden-Wuerttemberg,Stuttgart,70173,32.74,1988,Natural,true,false,920.2
Nordrhein-Westfalen,Essen,45127,148.45,1924,Oil,true,false,2204.75
Baden-Wuerttemberg,Stuttgart,70173,193.58,2000,Oil,true,true,3795.85
Baden-Wuerttemberg,Stuttgart,70173,159.71,1976,Natural,false,false,2867.6
Hessen,Marburg,35037,132.7,2001,District,true,false,2651.58
Baden-Wuerttemberg,Mannheim,68159,27.63,1924,District,false,false,695.21
Baden-Wuerttemberg,Tuebingen,72070,133.27,1950,Oil,true,false,2138.1
Baden-Wuerttemberg,Freiburg im Breisgau,79098,76.94,1974,District,true,false,2035.13
Hessen,Marburg,35037,183.27,1960,Natural,false,false,2111.28
Nordrhein-Westfalen,Aachen,52062,22.97,1928,Oil,false,false,550.33
Hessen,Ruesselsheim am Main,65428,221.18,2010,District,true,false,2995.19
Bayern,Muenchen,80331,148.68,1950,Oil,true,false,2893.43
Bayern,Wuerzburg,97070,65.54,1998,District,true,false,1634.62
Baden-Wuerttemberg,Ludwigsburg,71634,96.43,1979,Oil,false,false,1908.68
Nordrhein-Westfalen,Essen,45127,203.76,1931,Natural,false,false,1791.33
Baden-Wuerttemberg,Heilbronn,74072,164.61,1981,Natural,false,false,2353.94
Nordrhein-Westfalen,Essen,45127,232.97,1945,District,false,false,2213.71
Nordrhein-Westfalen,Duesseldorf,40210,183.83,1972,Oil,false,false,2488.23
Bayern,Wuerzburg,97070,169.27,1983,Natural,false,false,2336.38
Nordrhein-Westfalen,Bonn,53111,145.76,1936,District,true,false,2718.61
Nordrhein-Westfalen,Wuppertal,42103,31.3,2001,Natural,false,false,566.75
Hessen,Kassel,34117,166.74,1942,Natural,false,false,2091.13
Nordrhein-Westfalen,Dortmund,44135,29.63,1958,None,true,false,422.25
Bayern,Wuerzburg,97070,184.8,1944,Natural,false,false,2520.67
Bayern,Schweinfurt,97421,110.67,2010,Natural,false,false,1701.13
Niedersachsen,Wolfsburg,38440,76.82,1972,Oil,false,false,1644.23
Bayern,Freising,85354,140.84,1970,Natural,false,false,2313.77
Nordrhein-Westfalen,Wuppertal,42103,161.15,1947,District,true,false,2272.48
Niedersachsen,Hannover,30159,57.6,1999,Oil,true,false,1374.34
Nordrhein-Westfalen,Muenster,48143,155.94,1963,Natural,false,false,1819.68
Niedersachsen,Hildesheim,31134,31.25,1959,Oil,true,false,697.22
Niedersachsen,Braunschweig,38100,91.93,1991,Oil,false,false,1780.66
Hessen,Marburg,35037,76.25,1993,Natural,true,false,1542.27
Nordrhein-Westfalen,Bonn,53111,66.78,1971,Oil,false,false,1381.27
Niedersachsen,Hannover,30159,31.75,1937,Oil,false,false,758.95
Hessen,Fulda,36037,230.85,1931,Natural,true,false,2179.54
Bayern,Dachau,85221,138.44,1946,Natural,false,false,2408.26
Baden-Wuerttemberg,Ulm,89073,168.42,1942,District,true,false,3350.56
Niedersachsen,Osnabrueck,49074,211.48,1975,District,false,false,2596.29
Hessen,Fulda,36037,89.71,1927,Oil,true,true,1941.85
Bayern,Wuerzburg,97070,92.04,1924,Oil,false,false,1914.57
Niedersachsen,Goettingen,37073,243.36,1922,District,true,false,3066.11
Niedersachsen,Wolfsburg,38440,87.02,1996,Oil,true,false,2004.33
Nordrhein-Westfalen,Bielefeld,33602,195.01,1935,District,true,false,2658.5
Hessen,Offenbach am Main,63065,47.56,1976,Oil,false,false,1231.24
Hessen,Frankfurt am Main,60306,245.76,1947,District,true,false,4311.36
Nordrhein-Westfalen,Duisburg,47051,153.08,1970,District,false,false,2030.11
Baden-Wuerttemberg,Karlsruhe,76131,207.77,2005,Natural,false,false,2479.94
Hessen,Frankfurt am Main,60306,181.72,1954,Natural,false,false,2948.02
Niedersachsen,Oldenburg,26121,219.93,1973,Natural,false,false,1942.18
Nordrhein-Westfalen,Muenster,48143,152.39,1952,Natural,false,false,1821.56
Bayern,Muenchen,80331,95.14,2000,Natural,false,false,2138.58
Bayern,Kaufbeuren,87600,43.16,1995,Oil,false,false,849.06
Hessen,Giessen,35390,173.91,1928,District,false,false,2871.12
Bayern,Rosenheim,83022,107.36,1996,Natural,true,false,1919.48
Baden-Wuerttemberg,Heilbronn,74072,249.72,1958,District,false,false,2743.17
Nordrhein-Westfalen,Wuppertal,42103,65.34,1932,None,true,false,713.25
Baden-Wuerttemberg,Stuttgart,70173,196.63,1979,District,false,false,3645.85
Nordrhein-Westfalen,Moenchengladbach,41061,72.3,2003,District,true,false,1518.56
Niedersachsen,Wolfsburg,38440,152.9,1939,District,false,false,2784.5
Nordrhein-Westfalen,Muenster,48143,74.39,1982,None,false,false,802.63
Bayern,Neu-Ulm,89231,101.38,1991,District,false,false,2204.58
Niedersachsen,Goettingen,37073,22.01,1973,Natural,false,false,477.47
Baden-Wuerttemberg,Ulm,89073,201.76,1946,Oil,false,false,3252.81
Bayern,Bayreuth,95444,169.75,2006,Oil,true,false,2649.1
Bayern,Aschaffenburg,63739,54.85,1959,Oil,true,false,1206.79
Hessen,Fulda,36037,59.15,1982,Natural,false,false,1102.28
Baden-Wuerttemberg,Heilbronn,74072,26.81,1959,District,false,false,683.8
Nordrhein-Westfalen,Duisburg,47051,36.52,1926,None,true,false,520.61
Baden-Wuerttemberg,Heilbronn,74072,232.15,1963,Natural,false,false,2158.81
Baden-Wuerttemberg,Stuttgart,70173,195.56,1958,District,false,false,3493.33
Nordrhein-Westfalen,Bochum,44787,151.21,1971,Natural,false,false,1671.12
Hessen,Fulda,36037,158.81,1949,Oil,false,false,2152.94
Bayern,Rosenheim,83022,126.76,1928,None,false,false,1140.64
Bayern,Freising,85354,170.28,1939,District,false,false,3179.22
Nordrhein-Westfalen,Aachen,52062,62.99,1954,Oil,false,false,1227.58
Niedersachsen,Goettingen,37073,163.53,1998,Natural,true,false,2398.61
Hessen,Wiesbaden,55246,177.12,1959,Oil,false,false,2683.61
Baden-Wuerttemberg,Karlsruhe,76131,74.05,1964,District,true,false,1633.33
Niedersachsen,Braunschweig,38100,93.41,1964,Natural,false,false,1524.41
Bayern,Rosenheim,83022,209.18,1973,None,false,false,576.24
Niedersachsen,Osnabrueck,49074,63.7,1958,District,false,false,1300.75
Niedersachsen,Oldenburg,26121,91.05,1979,District,true,false,1857.04
Bayern,Rosenheim,83022,105.69,1964,None,true,false,929.77
Baden-Wuerttemberg,Esslingen am Neckar,73728,221.55,1957,District,true,false,2619.26
Baden-Wuerttemberg,Ludwigsburg,71634,133.01,2010,Oil,true,false,2520.64
Bayern,Straubing,94315,90.2,1958,District,false,false,1559.64
Nordrhein-Westfalen,Essen,45127,129.76,1995,District,true,false,2048.01
Niedersachsen,Braunschweig,38100,194.96,1951,Oil,false,false,2309.15
Hessen,Giessen,35390,188.07,1966,None,true,false,767.3
Hessen,Ruesselsheim am Main,65428,79.82,1953,Natural,false,true,1444.33
Niedersachsen,Hannover,30159,234.05,1998,Oil,false,false,2802.81
Niedersachsen,Goettingen,37073,42.73,1928,Natural,true,false,1001.79
Niedersachsen,Wolfsburg,38440,135.91,2000,Natural,true,false,2341.61
Niedersachsen,Hannover,30159,83.33,1969,Natural,false,false,1496.12
Bayern,Passau,94032,213.92,1961,Oil,false,true,2239.05
Niedersachsen,Osnabrueck,49074,202.1,1942,Oil,true,false,2603.2
Niedersachsen,Oldenburg,26121,20.34,1960,District,false,false,465.22
Baden-Wuerttemberg,Karlsruhe,76131,70.91,1930,Oil,false,false,1576.89
Hessen,Hanau,63450,170.39,1967,District,false,false,2581.55
Niedersachsen,Osnabrueck,49074,224.18,1930,None,true,false,593.24
Bayern,Kempten,87435,148.68,1964,Oil,false,false,2119.1
Nordrhein-Westfalen,Bonn,53111,182.92,1982,Natural,false,false,2110.91
Niedersachsen,Goettingen,37073,167.51,1968,District,false,false,2478.27
Hessen,Offenbach am Main,63065,104.81,1943,District,false,false,2427.07
Hessen,Giessen,35390,161.93,2007,District,false,false,2789.03
Bayern,Memmingen,87700,218.5,1990,Oil,false,false,2231.08
Nordrhein-Westfalen,Aachen,52062,121.05,1939,None,false,false,1150.33
Nordrhein-Westfalen,Dortmund,44135,118.31,1957,Oil,false,false,1706.04
Hessen,Fulda,36037,150.37,1961,Oil,true,false,2128.29
Hessen,Offenbach am Main,63065,170.35,1948,None,true,false,1625.77
Bayern,Freising,85354,127.78,1996,Oil,true,false,2662.81
Baden-Wuerttemberg,Tuebingen,72070,201.34,2007,District,true,false,3006.22
Niedersachsen,Goettingen,37073,228.42,1938,Natural,false,false,2332.79
Niedersachsen,Hildesheim,31134,214.55,1965,Natural,false,false,1414.74
Baden-Wuerttemberg,Ulm,89073,158.38,1936,Oil,false,false,2992.04
Baden-Wuerttemberg,Esslingen am Neckar,73728,133.5,2001,Oil,false,false,2365.35
Hessen,Wiesbaden,55246,72.38,1988,Oil,false,false,1651.96
Hessen,Offenbach am Main,63065,80.57,1923,District,false,false,2017.88
Bayern,Kempten,87435,68.12,1983,Oil,false,false,1359.78
Niedersachsen,Hildesheim,31134,210.72,2010,District,false,false,2501.14
Nordrhein-Westfalen,Essen,45127,116.08,1984,Natural,false,true,1575.5
Nordrhein-Westfalen,Koeln,50667,118.48,2007,Natural,false,false,2028.76
Hessen,Offenbach am Main,63065,27.37,1994,Natural,false,false,681.08
Hessen,Fulda,36037,238.03,1932,District,false,false,2700.32
Bayern,Kempten,87435,130.71,1920,Natural,false,false,2072.02
Nordrhein-Westfalen,Muenster,48143,105.16,1934,Natural,true,false,1858.72
Bayern,Landshut,84082,134.37,1981,Natural,false,false,2035.51
Hessen,Marburg,35037,163.67,2001,Natural,true,false,2540.03
Hessen,Kassel,34117,92.28,1985,Natural,false,false,1460.33
Baden-Wuerttemberg,Mannheim,68159,156.0,1948,District,false,false,2767.49
Hessen,Wiesbaden,55246,51.03,1939,Oil,false,false,1282.77
Hessen,Wiesbaden,55246,41.68,2008,District,false,false,1165.18
Hessen,Frankfurt am Main,60306,240.51,1966,Oil,false,false,3577.47
Hessen,Giessen,35390,107.4,1958,Natural,false,false,1704.88
Nordrhein-Westfalen,Essen,45127,129.77,1960,District,false,false,1900.92
Bayern,Nuernberg,90402,78.77,1934,Oil,false,false,1684.94
